robot,kd,kp,avg_distance_wall,correct_percentage_distance_wall,time_taken
robot1,1.45,3.695,1.56,94.83,43.85
robot2,1.45,3.695,1.63,89.42,33.97
robot1,1.45,3.92,,,
robot2,1.45,3.92,2.46,64.29,16.01
robot1,1.6749999999999998,2.12,,,
robot2,1.6749999999999998,2.12,3.41,49.21,15.94
robot1,1.6749999999999998,2.345,1.68,92.05,43.03
robot2,1.6749999999999998,2.345,1.98,83.48,33.15
robot1,1.6749999999999998,2.5700000000000003,,,
robot2,1.6749999999999998,2.5700000000000003,2.93,54.39,15.0
robot1,1.6749999999999998,2.795,1.58,97.04,42.37
robot2,1.6749999999999998,2.795,1.93,83.83,32.48
robot1,1.6749999999999998,3.02,1.58,96.32,45.2
robot2,1.6749999999999998,3.02,1.94,84.13,35.49
robot1,1.6749999999999998,3.245,1.56,95.48,43.34
robot2,1.6749999999999998,3.245,1.66,91.01,33.33
robot1,1.6749999999999998,3.47,1.58,94.83,45.72
robot2,1.6749999999999998,3.47,1.98,85.94,35.95
robot1,1.6749999999999998,3.695,1.58,95.62,44.36
robot2,1.6749999999999998,3.695,1.89,85.76,46.86
robot1,1.6749999999999998,3.92,1.57,95.4,44.18
robot2,1.6749999999999998,3.92,1.72,85.07,34.31
robot1,1.9,2.12,1.68,93.22,44.59
robot2,1.9,2.12,2.3,72.11,70.67
robot1,1.9,2.345,1.75,91.51,42.43
robot2,1.9,2.345,1.85,91.34,34.6
robot1,1.9,2.5700000000000003,,,
robot2,1.9,2.5700000000000003,2.9,50.0,17.1
robot1,1.9,2.795,1.6,96.4,44.48
robot2,1.9,2.795,1.79,87.64,39.45
robot1,1.9,3.02,1.59,96.72,40.67
robot2,1.9,3.02,3.2,52.24,16.23
robot1,1.9,3.245,1.58,96.19,42.72
robot2,1.9,3.245,1.69,90.34,33.17
robot1,1.9,3.47,1.6,90.98,46.31
robot2,1.9,3.47,1.63,87.88,36.64
robot1,1.9,3.695,1.57,95.87,43.59
robot2,1.9,3.695,1.66,90.72,33.72
robot1,1.9,3.92,,,
robot2,1.9,3.92,2.94,55.22,15.36
robot1,2.12,2.12,1.85,86.31,63.91
robot2,2.12,2.12,2.18,76.24,50.11
robot1,2.12,2.345,,,
robot2,2.12,2.345,2.17,84.38,19.26
robot1,2.12,2.5700000000000003,,,
robot2,2.12,2.5700000000000003,2.06,88.71,23.53
robot1,2.12,2.795,,,
robot2,2.12,2.795,3.16,48.42,23.68
robot1,2.12,3.02,1.59,96.02,41.7
robot2,2.12,3.02,1.8,87.0,32.48
robot1,2.12,3.245,1.59,95.96,43.18
robot2,2.12,3.245,2.36,72.55,66.92
robot1,2.12,3.47,1.6,96.26,45.1
robot2,2.12,3.47,1.62,89.57,35.68
robot1,2.12,3.695,,,
robot2,2.12,3.695,2.42,67.21,15.0
robot1,2.12,3.92,1.58,96.31,45.07
robot2,2.12,3.92,1.64,89.38,35.54
robot1,2.345,2.12,1.89,89.86,45.69
robot2,2.345,2.12,2.26,75.77,42.12
robot1,2.345,2.345,1.8,93.04,43.03
robot2,2.345,2.345,1.98,87.03,37.97
robot1,2.345,2.5700000000000003,1.88,88.7,44.34
robot2,2.345,2.5700000000000003,2.27,68.9,33.76
robot1,2.345,2.795,1.65,95.34,42.74
robot2,2.345,2.795,2.43,68.79,49.16
robot1,2.345,3.02,1.92,85.81,68.82
robot2,2.345,3.02,2.01,85.0,58.1
robot1,2.345,3.245,2.08,82.06,70.66
robot2,2.345,3.245,2.1,80.74,35.17
robot1,2.345,3.47,1.6,95.7,41.06
robot2,2.345,3.47,,,
robot1,2.345,3.695,1.66,92.43,45.14
robot2,2.345,3.695,2.04,80.15,34.83
robot1,2.345,3.92,1.6,95.72,42.1
robot2,2.345,3.92,1.74,88.78,32.75
robot1,2.5700000000000003,2.12,1.72,94.37,41.44
robot2,2.5700000000000003,2.12,2.19,71.37,37.9
robot1,2.5700000000000003,2.345,1.77,93.13,58.01
robot2,2.5700000000000003,2.345,2.32,72.2,46.06
robot1,2.5700000000000003,2.5700000000000003,1.95,87.33,64.47
